"id","circ_tronco_cm","long","lat","inclinacion_peligrosa","peligrosidad_especie","peligrosidad_diametro","peligrosidad_altura"
0,60,-68.8404148439,-32.8747311819,0,0.103064066852368,0.0409336941813261,0.0889907279121816
3,52,-68.8574212649,-32.8959944483,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
5,70,-68.8574080472,-32.8958575989,0,0.185148665048544,0.14110772139389,0.0889907279121816
7,110,-68.8572981214,-32.8958308493,0,0.185148665048544,0.14110772139389,0.0889907279121816
8,54,-68.8572185354,-32.895838834,0,0.185148665048544,0.0409336941813261,0.0889907279121816
10,100,-68.8570828523,-32.8958536317,0,0.185148665048544,0.14110772139389,0.0889907279121816
11,110,-68.8570150632,-32.8958572818,0,0.185148665048544,0.14110772139389,0.0889907279121816
12,100,-68.8569486959,-32.8958654194,0,0.185148665048544,0.14110772139389,0.0889907279121816
15,56,-68.8567599137,-32.8958801479,1,0.185148665048544,0.0409336941813261,0.0289715113471753
18,140,-68.8565970585,-32.8958954911,0,0.185148665048544,0.14110772139389,0.0889907279121816
19,34,-68.8565423331,-32.8958979197,0,0.0512455516014235,0.0409336941813261,0.0289715113471753
20,36,-68.8564561132,-32.8959077601,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
21,40,-68.8563617906,-32.8959157273,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
22,60,-68.8562696772,-32.8959249395,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
24,44,-68.8560821871,-32.8959409192,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
25,70,-68.8559930265,-32.8959464079,0,0.0420032310177706,0.14110772139389,0.0289715113471753
26,190,-68.8559333348,-32.8959537934,0,0.185148665048544,0.14110772139389,0.0889907279121816
27,18,-68.8558670144,-32.8959593075,0,0.103064066852368,0.0194352768610194,0.0289715113471753
29,70,-68.8557244552,-32.8959760507,0,0.0420032310177706,0.14110772139389,0.0289715113471753
32,50,-68.8554957289,-32.8960635292,0,0.0420032310177706,0.0409336941813261,0.0889907279121816
33,130,-68.8554978524,-32.896116955,0,0.185148665048544,0.14110772139389,0.0889907279121816
36,180,-68.8555115869,-32.8962997301,0,0.185148665048544,0.14110772139389,0.0889907279121816
37,40,-68.8555173886,-32.89637069,0,0.185148665048544,0.0409336941813261,0.0289715113471753
38,54,-68.8555195434,-32.8964048593,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
39,50,-68.8555247378,-32.896472695,1,0.185148665048544,0.0409336941813261,0.0889907279121816
40,140,-68.8555275959,-32.8965286068,0,0.0420032310177706,0.14110772139389,0.0889907279121816
41,38,-68.8555333966,-32.8965863857,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
42,40,-68.8555384332,-32.8966506469,0,0.103064066852368,0.0409336941813261,0.0889907279121816
43,160,-68.8555456877,-32.8967214732,0,0.0231481481481481,0.14110772139389,0.0889907279121816
45,70,-68.8555550606,-32.8968475873,0,0.0512455516014235,0.14110772139389,0.0889907279121816
46,16,-68.8556066986,-32.8968926954,0,0.0420032310177706,0.0194352768610194,0.0289715113471753
47,150,-68.8557135396,-32.8968884698,0,0.185148665048544,0.14110772139389,0.0889907279121816
50,160,-68.8559959252,-32.8968869126,0,0.0420032310177706,0.14110772139389,0.0889907279121816
54,180,-68.8563977544,-32.8968842892,0,0.185148665048544,0.14110772139389,0.0889907279121816
55,120,-68.8564928055,-32.8968819132,0,0.185148665048544,0.14110772139389,0.0889907279121816
56,22,-68.8565517502,-32.8968807383,0,0.0512455516014235,0.0409336941813261,0.0289715113471753
57,60,-68.8566003809,-32.8968795525,0,0.103064066852368,0.0409336941813261,0.0889907279121816
58,110,-68.8566897621,-32.8968080147,0,0.185148665048544,0.14110772139389,0.0889907279121816
59,110,-68.8566854205,-32.8967589352,0,0.185148665048544,0.14110772139389,0.0889907279121816
63,22,-68.8566640973,-32.8965521495,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
64,50,-68.8566631466,-32.8965007268,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
65,60,-68.8566745934,-32.8964536752,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
67,110,-68.8567741669,-32.8963498613,0,0.0227272727272727,0.14110772139389,0.0889907279121816
70,20,-68.8569471413,-32.896200889,0,0.0420032310177706,0.0194352768610194,0.0289715113471753
71,80,-68.8570000164,-32.8961607332,0,0.021505376344086,0.14110772139389,0.0889907279121816
72,18,-68.8570207182,-32.8961433254,0,0.0512455516014235,0.0194352768610194,0.0289715113471753
74,24,-68.857099465,-32.8961049763,0,0.0512455516014235,0.0409336941813261,0.0289715113471753
75,38,-68.8571470338,-32.8960945728,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
76,14,-68.8571997744,-32.8960815595,0,0.0420032310177706,0.0194352768610194,0.0289715113471753
77,30,-68.8572680225,-32.8960676918,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
78,20,-68.8573362717,-32.8960538251,0,0.0512455516014235,0.0194352768610194,0.0289715113471753
79,28,-68.8573962494,-32.8960399488,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
80,32,-68.8569717785,-32.9018553116,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
81,36,-68.8569036408,-32.9018688672,0,0.0512455516014235,0.0409336941813261,0.0289715113471753
82,40,-68.856861979,-32.901873777,1,0.0512455516014235,0.0409336941813261,0.0289715113471753
84,24,-68.8566761685,-32.9018764604,0,0.0512455516014235,0.0409336941813261,0.0289715113471753
85,36,-68.85658883,-32.9018751105,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
87,50,-68.8564294551,-32.9018902112,0,0.0204081632653061,0.0409336941813261,0.0289715113471753
88,50,-68.8563808316,-32.9019005023,0,0.185148665048544,0.0409336941813261,0.0289715113471753
89,40,-68.8562723706,-32.9019206477,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
90,30,-68.8562086466,-32.9019325551,0,0.0420032310177706,0.0409336941813261,0.0289715113471753
