"id","circ_tronco_cm","long","lat","seccion","inclinacion_peligrosa","peligrosidad_especie","peligrosidad_diametro","peligrosidad_altura"
3,52,-68.8574212649,-32.8959944483,5,"0",0.0420032310177706,0.0409336941813261,0.0289715113471753
15,56,-68.8567599137,-32.8958801479,5,"1",0.185148665048544,0.0409336941813261,0.0289715113471753
25,70,-68.8559930265,-32.8959464079,5,"0",0.0420032310177706,0.14110772139389,0.0289715113471753
39,50,-68.8555247378,-32.896472695,5,"1",0.185148665048544,0.0409336941813261,0.0889907279121816
40,140,-68.8555275959,-32.8965286068,5,"0",0.0420032310177706,0.14110772139389,0.0889907279121816
55,120,-68.8564928055,-32.8968819132,5,"0",0.185148665048544,0.14110772139389,0.0889907279121816
64,50,-68.8566631466,-32.8965007268,5,"0",0.0420032310177706,0.0409336941813261,0.0289715113471753
72,18,-68.8570207182,-32.8961433254,5,"0",0.0512455516014235,0.0194352768610194,0.0289715113471753
81,36,-68.8569036408,-32.9018688672,5,"0",0.0512455516014235,0.0409336941813261,0.0289715113471753
82,40,-68.856861979,-32.901873777,5,"1",0.0512455516014235,0.0409336941813261,0.0289715113471753
85,36,-68.85658883,-32.9018751105,5,"0",0.0420032310177706,0.0409336941813261,0.0289715113471753
94,40,-68.8559767703,-32.9018780886,5,"0",0.185148665048544,0.0409336941813261,0.0289715113471753
95,44,-68.8559778475,-32.9018181842,5,"0",0.185148665048544,0.0409336941813261,0.0289715113471753
98,40,-68.8561006803,-32.9017260692,5,"0",0.0227272727272727,0.0409336941813261,0.0289715113471753
126,46,-68.8569444054,-32.8640397021,6,"0",0.103064066852368,0.0409336941813261,0.0289715113471753
134,120,-68.8577134749,-32.8640769147,6,"0",0.022887323943662,0.14110772139389,0.0889907279121816
136,24,-68.8578758998,-32.864085761,6,"0",0.185148665048544,0.0409336941813261,0.0289715113471753
153,56,-68.8576246578,-32.8641856357,6,"0",0.103064066852368,0.0409336941813261,0.0889907279121816
168,40,-68.8566239237,-32.8642132741,6,"0",0.0859023207481815,0.0409336941813261,0.0289715113471753
182,50,-68.8572935648,-32.8646183608,6,"0",0.185148665048544,0.0409336941813261,0.0289715113471753
204,130,-68.8393721078,-32.8705776557,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
211,40,-68.8392752324,-32.8702071153,4,"1",0.0512455516014235,0.0409336941813261,0.0889907279121816
215,200,-68.8389727497,-32.8699815525,4,"0",0.0903973509933775,0.14110772139389,0.157894736842105
218,170,-68.8387341999,-32.8699698865,4,"1",0.0903973509933775,0.14110772139389,0.157894736842105
226,118,-68.8380796956,-32.8699463184,4,"0",0.0512455516014235,0.14110772139389,0.0889907279121816
228,180,-68.8380639089,-32.8700831815,4,"0",0.0903973509933775,0.14110772139389,0.157894736842105
230,120,-68.8380983294,-32.8702159238,4,"1",0.185148665048544,0.14110772139389,0.0889907279121816
231,25,-68.8381161635,-32.8702836173,4,"1",0.103064066852368,0.0409336941813261,0.0289715113471753
233,70,-68.838138476,-32.8703616535,4,"1",0.185148665048544,0.14110772139389,0.0889907279121816
237,35,-68.8383248382,-32.8705394661,4,"0",0.185148665048544,0.0409336941813261,0.0889907279121816
252,4,-68.822199023,-32.8669862615,4,"0",0.185148665048544,0.0194352768610194,0.0162354134956875
253,150,-68.8221276323,-32.8669915711,4,"0",0.022887323943662,0.14110772139389,0.0889907279121816
260,130,-68.8220845592,-32.8668629328,4,"0",0.0420032310177706,0.14110772139389,0.0889907279121816
272,135,-68.8214511411,-32.8673961887,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
283,180,-68.8217530143,-32.8677780855,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
293,110,-68.8224812194,-32.8677514353,4,"0",0.185148665048544,0.14110772139389,0.157894736842105
295,120,-68.8226190791,-32.8676765909,4,"1",0.0420032310177706,0.14110772139389,0.0289715113471753
297,140,-68.8226052434,-32.8675699189,4,"0",0.0420032310177706,0.14110772139389,0.0889907279121816
298,120,-68.8225960679,-32.8674655997,4,"0",0.0420032310177706,0.14110772139389,0.0889907279121816
306,105,-68.8224011128,-32.8671097264,4,"0",0.0420032310177706,0.14110772139389,0.0889907279121816
308,130,-68.8222502473,-32.8671150395,4,"1",0.0420032310177706,0.14110772139389,0.157894736842105
310,100,-68.8221491965,-32.8671164738,4,"0",0.0420032310177706,0.14110772139389,0.0889907279121816
316,65,-68.8216023808,-32.86713706,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
351,150,-68.8212753436,-32.8671879718,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
358,130,-68.8205588286,-32.8671747804,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
372,125,-68.8189082254,-32.8675175597,4,"1",0.185148665048544,0.14110772139389,0.0889907279121816
382,35,-68.8193975928,-32.8678455064,4,"0",0.0420032310177706,0.0409336941813261,0.0289715113471753
389,145,-68.819932011,-32.8678290193,4,"0",0.0859023207481815,0.14110772139389,0.157894736842105
392,168,-68.8200578238,-32.8677087511,4,"0",0.185148665048544,0.14110772139389,0.157894736842105
401,40,-68.8198025633,-32.8671963169,4,"1",0.0321782178217822,0.0409336941813261,0.0889907279121816
415,70,-68.8183360151,-32.8673146478,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
447,100,-68.8184258278,-32.8679005639,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
473,140,-68.8223209495,-32.8685817196,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
474,160,-68.8224149243,-32.86857923,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
489,25,-68.8225743513,-32.8678777758,4,"1",0.103064066852368,0.0409336941813261,0.0289715113471753
490,180,-68.8224689402,-32.8678808949,4,"0",0.185148665048544,0.14110772139389,0.157894736842105
501,120,-68.8216700602,-32.8679039412,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
507,130,-68.8202922576,-32.8682116077,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
508,130,-68.8202983414,-32.8682582277,4,"0",0.185148665048544,0.14110772139389,0.157894736842105
514,160,-68.8203358788,-32.868587767,4,"0",0.185148665048544,0.14110772139389,0.157894736842105
515,90,-68.820395667,-32.8686377364,4,"1",0.185148665048544,0.14110772139389,0.0889907279121816
525,3,-68.8210766105,-32.868620589,4,"0",0.185148665048544,0.0194352768610194,0.0162354134956875
533,120,-68.8214265293,-32.868357311,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
543,84,-68.8211841189,-32.8679221741,4,"0",0.185148665048544,0.14110772139389,0.0889907279121816
551,150,-68.820472118,-32.8679453224,4,"1",0.185148665048544,0.14110772139389,0.0889907279121816
555,170,-68.818951919,-32.868068028,4,"1",0.0420032310177706,0.14110772139389,0.157894736842105
559,180,-68.8189861651,-32.8683121851,4,"1",0.185148665048544,0.14110772139389,0.0889907279121816
561,160,-68.8190072511,-32.8684963857,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
570,150,-68.8194308706,-32.8686734739,4,"0",0.185148665048544,0.14110772139389,0.157894736842105
581,120,-68.820166945,-32.8686052795,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
583,180,-68.8201567064,-32.8685102362,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
587,180,-68.8201271983,-32.868305492,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
589,160,-68.8201118163,-32.8681696811,4,"1",0.185148665048544,0.14110772139389,0.157894736842105
